               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029568,            0.025581,            0.005047,             0.81851,             0.64108,             0.76014,             0.49646,            0.031898,            0.013402,           0.0073905,            0.006535,            0.006535,            0.006535
                  37,            0.030905,            0.025241,           0.0051121,             0.75211,             0.67682,             0.75893,             0.50579,            0.032606,            0.013476,           0.0064726,            0.006436,            0.006436,            0.006436
                  38,            0.029919,            0.025445,           0.0044605,             0.77571,             0.68012,             0.75798,              0.5046,            0.032663,            0.013416,            0.004553,            0.006337,            0.006337,            0.006337
                  39,            0.029492,            0.025939,           0.0039602,             0.80313,             0.67583,             0.79139,              0.5407,            0.032186,            0.013486,            0.005312,            0.006238,            0.006238,            0.006238
                  40,             0.02944,            0.025069,           0.0041461,              0.7568,              0.7453,             0.79856,             0.53021,            0.031811,            0.013481,           0.0070514,            0.006139,            0.006139,            0.006139
                  41,            0.029041,            0.024443,           0.0039863,             0.75431,             0.71877,             0.80179,             0.54311,            0.031467,            0.013438,           0.0065051,             0.00604,             0.00604,             0.00604
                  42,            0.029667,            0.025183,           0.0041718,             0.75718,             0.72656,             0.78161,             0.54427,            0.031834,            0.013265,           0.0071506,            0.005941,            0.005941,            0.005941
                  43,            0.029582,            0.025178,           0.0040905,             0.75656,             0.72095,             0.78616,               0.541,            0.031578,            0.013434,           0.0068113,            0.005842,            0.005842,            0.005842
                  44,            0.029825,            0.024727,            0.004128,             0.76961,             0.67275,             0.78463,             0.54212,            0.031539,            0.013503,           0.0066217,            0.005743,            0.005743,            0.005743
                  45,            0.029312,            0.025128,           0.0035337,              0.7685,             0.70333,             0.79123,             0.55314,             0.03137,            0.013129,           0.0062948,            0.005644,            0.005644,            0.005644
                  46,            0.029319,            0.024726,           0.0037371,             0.76083,             0.73306,              0.7757,             0.53353,            0.031896,            0.013393,           0.0068714,            0.005545,            0.005545,            0.005545
                  47,            0.028523,            0.023732,           0.0035735,             0.79829,             0.65314,             0.78628,             0.54381,            0.031732,            0.013511,           0.0083073,            0.005446,            0.005446,            0.005446
                  48,            0.028877,            0.024798,            0.003263,             0.82751,              0.6989,             0.79679,             0.55341,              0.0313,            0.013325,           0.0065938,            0.005347,            0.005347,            0.005347
                  49,            0.027803,            0.024072,           0.0033542,             0.72109,             0.74409,             0.79903,              0.5504,            0.031363,             0.01345,           0.0057005,            0.005248,            0.005248,            0.005248
                  50,            0.028763,            0.024374,           0.0033874,             0.82579,             0.71902,             0.80507,             0.55682,            0.031971,            0.013321,           0.0052844,            0.005149,            0.005149,            0.005149
                  51,            0.028481,            0.023777,           0.0033756,             0.78563,             0.72717,             0.80361,             0.55912,            0.031775,            0.013147,           0.0059047,             0.00505,             0.00505,             0.00505
                  52,            0.028292,            0.024043,           0.0031504,             0.76781,             0.72142,             0.80197,             0.55401,              0.0317,            0.013174,           0.0067676,            0.004951,            0.004951,            0.004951
                  53,             0.02785,            0.023404,           0.0029746,              0.7789,             0.68475,             0.77857,             0.54534,            0.032737,            0.013308,           0.0069297,            0.004852,            0.004852,            0.004852
                  54,            0.027773,            0.023739,           0.0031239,             0.78993,             0.72352,             0.80745,             0.56133,            0.031617,            0.013267,           0.0050358,            0.004753,            0.004753,            0.004753
                  55,            0.027174,            0.023188,           0.0029669,              0.7852,             0.70223,             0.78963,             0.56616,            0.032345,            0.013345,           0.0055726,            0.004654,            0.004654,            0.004654
                  56,            0.027838,            0.023409,           0.0032104,             0.83091,             0.70632,              0.8137,             0.57061,             0.03206,             0.01332,           0.0060763,            0.004555,            0.004555,            0.004555
                  57,            0.027563,            0.023677,           0.0030238,              0.7862,             0.75691,             0.80847,             0.58017,            0.031865,            0.013174,           0.0053242,            0.004456,            0.004456,            0.004456
                  58,            0.027414,              0.0235,           0.0027776,             0.78325,             0.72886,             0.80186,              0.5597,            0.031813,            0.013515,            0.005338,            0.004357,            0.004357,            0.004357
                  59,            0.026874,             0.02344,           0.0028325,              0.8101,               0.744,             0.82696,             0.56842,            0.031613,            0.012956,           0.0041067,            0.004258,            0.004258,            0.004258
                  60,            0.026714,            0.023244,           0.0026403,             0.79993,             0.71851,             0.81429,             0.58001,             0.03146,            0.013036,           0.0042297,            0.004159,            0.004159,            0.004159
                  61,            0.026791,            0.023105,           0.0025021,             0.82647,             0.72644,             0.81505,             0.57545,            0.031046,             0.01323,           0.0046159,             0.00406,             0.00406,             0.00406
                  62,             0.02637,            0.022722,           0.0025181,             0.80312,             0.70537,             0.79887,              0.5657,            0.031111,            0.013414,           0.0057461,            0.003961,            0.003961,            0.003961
                  63,            0.026755,            0.023269,           0.0028082,             0.75039,             0.76765,              0.8129,             0.58485,            0.031454,            0.013357,           0.0047548,            0.003862,            0.003862,            0.003862
                  64,            0.026492,            0.023066,           0.0023862,             0.79267,             0.73229,             0.81075,             0.57693,            0.031727,            0.013374,           0.0044509,            0.003763,            0.003763,            0.003763
                  65,            0.026562,            0.022597,           0.0028085,             0.82677,             0.74969,             0.82737,             0.58949,            0.030929,             0.01328,           0.0050338,            0.003664,            0.003664,            0.003664
                  66,             0.02612,            0.022634,           0.0023555,             0.80799,             0.72923,             0.81553,             0.58598,            0.031123,            0.013386,           0.0049136,            0.003565,            0.003565,            0.003565
                  67,            0.025662,            0.022502,           0.0022829,             0.84887,             0.73526,             0.82848,             0.59025,            0.030766,            0.013247,           0.0050622,            0.003466,            0.003466,            0.003466
                  68,            0.025731,            0.023094,           0.0020637,             0.81096,             0.70456,             0.80338,             0.57139,            0.031304,            0.013516,           0.0051985,            0.003367,            0.003367,            0.003367
                  69,            0.025703,             0.02272,           0.0022179,             0.82693,             0.72238,             0.81342,             0.58481,            0.030921,            0.013194,            0.005249,            0.003268,            0.003268,            0.003268
                  70,            0.025999,            0.023504,           0.0020223,             0.77975,             0.74479,             0.81761,             0.58089,            0.031286,            0.013355,           0.0057252,            0.003169,            0.003169,            0.003169
                  71,            0.025291,            0.022594,           0.0020161,              0.8432,             0.71661,             0.81633,             0.58044,            0.031303,            0.013417,           0.0060415,             0.00307,             0.00307,             0.00307
                  72,            0.025376,            0.022545,           0.0022451,             0.84367,             0.72968,             0.82677,             0.59719,            0.031243,            0.013352,           0.0050493,            0.002971,            0.002971,            0.002971
                  73,             0.02524,            0.022804,           0.0021824,             0.85403,             0.75033,             0.82338,             0.58054,             0.03086,            0.013331,           0.0052486,            0.002872,            0.002872,            0.002872
                  74,            0.024746,            0.022509,           0.0019926,             0.83319,             0.74227,              0.8315,             0.58807,            0.031196,             0.01322,           0.0057218,            0.002773,            0.002773,            0.002773
                  75,            0.025512,            0.022206,           0.0020852,             0.80681,             0.74144,             0.82524,             0.57786,            0.030624,            0.013347,           0.0060392,            0.002674,            0.002674,            0.002674
                  76,            0.025503,             0.02184,           0.0022175,             0.78161,             0.76633,             0.83633,             0.59149,            0.030907,             0.01336,           0.0052303,            0.002575,            0.002575,            0.002575
                  77,            0.024952,            0.022383,           0.0019887,             0.77642,              0.7368,             0.82793,             0.58222,            0.031186,            0.013246,            0.005341,            0.002476,            0.002476,            0.002476
                  78,            0.024447,             0.02185,           0.0019155,             0.75309,              0.7789,             0.81413,             0.57261,            0.031295,            0.013309,           0.0045189,            0.002377,            0.002377,            0.002377
                  79,            0.024888,            0.021984,           0.0018958,             0.82435,             0.70955,              0.8212,             0.59089,            0.030728,            0.013126,           0.0056415,            0.002278,            0.002278,            0.002278
                  80,            0.024161,            0.021446,           0.0018535,             0.83628,             0.73778,             0.83706,             0.61345,            0.030711,            0.013264,           0.0046983,            0.002179,            0.002179,            0.002179
                  81,            0.024502,            0.021855,           0.0015694,             0.84091,             0.74614,             0.82253,             0.59093,            0.030541,            0.013107,           0.0047186,             0.00208,             0.00208,             0.00208
                  82,             0.02414,            0.021519,           0.0015067,             0.77906,             0.76966,             0.82792,             0.60317,            0.030717,            0.013359,           0.0053895,            0.001981,            0.001981,            0.001981
                  83,            0.024117,            0.021386,            0.001692,             0.83463,             0.77029,             0.84047,             0.59901,            0.030523,            0.013279,           0.0044565,            0.001882,            0.001882,            0.001882
                  84,            0.023804,            0.021365,           0.0017441,             0.84844,             0.76012,             0.84596,             0.61469,            0.030442,            0.013499,           0.0044135,            0.001783,            0.001783,            0.001783
                  85,             0.02415,             0.02173,           0.0015718,              0.8221,             0.77975,             0.84507,             0.61087,            0.030719,            0.013276,           0.0044576,            0.001684,            0.001684,            0.001684
                  86,            0.023446,            0.020867,            0.001374,              0.8593,             0.74658,             0.84491,             0.61787,            0.030561,            0.013168,           0.0046513,            0.001585,            0.001585,            0.001585
                  87,            0.023603,            0.020468,           0.0015664,             0.82533,             0.74775,             0.84572,             0.61293,            0.030539,            0.013254,           0.0045334,            0.001486,            0.001486,            0.001486
                  88,             0.02307,            0.020128,           0.0014034,              0.8554,             0.75842,             0.85797,             0.62145,            0.030613,            0.013401,           0.0044004,            0.001387,            0.001387,            0.001387
                  89,            0.023799,            0.021147,           0.0014259,             0.81466,             0.75073,             0.83685,             0.60408,            0.030749,            0.013343,           0.0046333,            0.001288,            0.001288,            0.001288
                  90,            0.023283,            0.021767,           0.0012719,             0.82455,             0.76612,             0.83828,              0.6069,            0.030515,            0.013352,           0.0045826,            0.001189,            0.001189,            0.001189
                  91,            0.023267,            0.020522,           0.0013608,             0.79954,             0.77393,             0.83569,             0.60456,            0.030572,            0.013372,           0.0041915,             0.00109,             0.00109,             0.00109
                  92,            0.023031,              0.0206,           0.0013259,             0.85489,              0.7353,             0.83011,             0.60236,            0.030971,            0.013369,           0.0038461,            0.000991,            0.000991,            0.000991
                  93,            0.022866,            0.020608,           0.0013638,             0.77851,             0.77772,              0.8293,             0.60523,            0.030766,            0.013515,           0.0044578,            0.000892,            0.000892,            0.000892
                  94,            0.022734,            0.020621,           0.0011983,             0.77147,             0.80304,             0.82757,             0.60474,            0.030908,            0.013502,           0.0046097,            0.000793,            0.000793,            0.000793
                  95,            0.022558,            0.020323,           0.0013783,             0.79415,             0.78257,             0.83454,             0.60334,            0.031056,            0.013467,           0.0050444,            0.000694,            0.000694,            0.000694
                  96,            0.022137,            0.020147,            0.001307,             0.79725,             0.76769,             0.82529,             0.60246,            0.030999,            0.013671,           0.0048367,            0.000595,            0.000595,            0.000595
                  97,            0.022375,            0.020533,           0.0011226,             0.76866,             0.77567,             0.82878,              0.6088,            0.030862,            0.013484,           0.0049409,            0.000496,            0.000496,            0.000496
                  98,            0.022217,            0.020239,           0.0014831,             0.82665,             0.73929,             0.83323,              0.6089,            0.030986,             0.01351,           0.0046685,            0.000397,            0.000397,            0.000397
                  99,            0.022267,            0.020266,           0.0012258,             0.80607,              0.7653,              0.8378,             0.61216,             0.03102,            0.013433,           0.0045305,            0.000298,            0.000298,            0.000298
