               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02792,            0.025892,           0.0031857,             0.77508,             0.75428,             0.82301,              0.5635,            0.031044,            0.013048,           0.0054484,             0.00307,             0.00307,             0.00307
                  37,            0.027451,             0.02529,           0.0032033,             0.75074,             0.74476,             0.80423,             0.55491,            0.031028,            0.013101,           0.0061032,            0.002872,            0.002872,            0.002872
                  38,            0.027005,              0.0247,             0.00291,             0.80104,             0.72769,             0.79596,             0.55809,            0.031274,            0.013259,           0.0054785,            0.002674,            0.002674,            0.002674
                  39,            0.027689,            0.024581,           0.0029518,             0.78163,             0.75144,              0.8014,             0.54764,            0.031266,            0.012969,           0.0056488,            0.002476,            0.002476,            0.002476
                  40,             0.02669,            0.024171,           0.0029595,             0.81489,              0.6881,              0.8017,             0.56913,            0.030899,              0.0129,           0.0076799,            0.002278,            0.002278,            0.002278
                  41,            0.026383,            0.024298,           0.0030774,             0.76778,             0.73544,             0.79736,             0.55533,            0.031067,            0.012908,           0.0057485,             0.00208,             0.00208,             0.00208
                  42,            0.026766,            0.023926,           0.0027442,             0.82328,             0.72316,               0.819,             0.59115,            0.030529,             0.01284,           0.0047187,            0.001882,            0.001882,            0.001882
                  43,            0.025905,            0.023526,           0.0031482,             0.77307,              0.7636,             0.82999,             0.58901,            0.030981,             0.01292,           0.0049134,            0.001684,            0.001684,            0.001684
                  44,            0.025984,            0.024031,           0.0025165,             0.78797,             0.75544,             0.80929,             0.58429,            0.030784,            0.012805,           0.0046896,            0.001486,            0.001486,            0.001486
                  45,            0.025589,            0.024287,           0.0022582,             0.80691,             0.76709,             0.81749,             0.59093,            0.031127,            0.012911,           0.0050048,            0.001288,            0.001288,            0.001288
                  46,            0.025298,            0.023792,           0.0025614,             0.83621,             0.73722,             0.82725,             0.59029,            0.030633,            0.012917,           0.0041918,             0.00109,             0.00109,             0.00109
                  47,            0.024935,            0.023338,           0.0025591,             0.76643,             0.77627,             0.80368,             0.58086,            0.030358,            0.012741,           0.0054808,            0.000892,            0.000892,            0.000892
                  48,             0.02499,            0.023897,           0.0023568,             0.78683,             0.76907,             0.83136,             0.59882,            0.030146,            0.012725,           0.0044568,            0.000694,            0.000694,            0.000694
                  49,            0.025062,            0.023271,           0.0022099,             0.80258,             0.76277,              0.8355,             0.60498,             0.03056,            0.012718,           0.0047008,            0.000496,            0.000496,            0.000496
